CLAVE,DESCRIPCIÓN
CORTM002,CORTADOR DE CARBURO 2mm 4FILOS PLANO CON RECUBRIMIENTO TIALN
CORTM003,CORTADOR VERTICAL DE CARBURO 4mm. 4 FILOS PLANO CON RECUB. TIALN
CORTM004,CORTADOR VERTICAL DE CARBURO 6mm. 4 FILOS PLANO CON RECUB. TIALN
CORTM005,CORTADOR 4F 8x8x60 CR 2.0 G859082
CORTM006 T,CORTADOR DE CARBURO 9mm. 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTM007,CORTADOR VERTICAL DE CARBURO 10mm. 4 FILOS PLANO C/RECUB. TIALN
CORTM008 F,CORTADOR VERTICAL DE CARBURO 12mm. 4 FILOS PLANO C/RECUB. TIALN
CORTM008 T,CORTADOR VERTICAL DE CARBURO 12mm. 4 FILOS PLANO C/RECUB. TIALN
CORTM009,CORTADOR VERTICAL DE CARBURO 11 MM 4 FILOS PLANO CON RECUB. TIALN
CORTM010,CORTADOR TORICO 6mm R1.5 4F (CO37710011)
CORTM011,CORTADOR TORICO 8mm R2 4F (CO37710016)
CORTM012,CORTADOR VERTICAL PLANO 8X8X19X63 6FR CLAVE G8D63080
CORTM013,CORTADOR ESFERICO 4MM 5170734 EBO 40A07-4 C06-IC900 CLAVE 05620569
CORTM014 F,CORTADOR VERTICAL DE CARBURO 2mm 4 FILOS ESFERICO CON RECUB. TIALN
CORTM014 T,CORTADOR VERTICAL DE CARBURO 2mm 4 FILOS ESFERICO CON RECUB. TIALN
CORTM015,CORTADOR VERTICAL DE CARBURO 5mm 4 FILOS PLANO CON RECUB. TIALN
CORTM016,CORTADOR DE CARBURO 5mm 4 FILOS ESFERICO CON RECUBRIMIENTO TIALN
CORTM017,CORTADOR VERTICAL DE CARBURO 6 mm 4 FILOS ESFERICO CON RECUB TIALN
CORTM018,CORTADOR TORICO DE CARBURO 10 mm 4 FILOS CON RECUBRIMIENTO TIALN
CORTM019,CORTADOR VERTICAL DE CARBURO 5mm 2 FILOS ESFERICO CON RECUBRIMIENTO TIALN
CORTM020,CORTADOR DE CARBURO 1mm 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTM021,CORTADOR VERTICAL DE CARBURO DE 1.5mm 4 FILOS PLANO C/RECUB. TIALN
CORTM027,CORTADOR PLANO 6mm 203211 6 ANILLO ROJO
CORTM028,CORTADOR PLANO 8mm 203211 8 ANILLO ROJO
CORTM030,CORTADOR PLANO 10mm 203211 10 ANILLO ROJO
CORTM034,CORTADOR DE CARBURO 8mm R2 PLANO 75N508053LT MM2544450
CORTM036,CORTADOR PLANO 4mm 203211 4 ANILLO ROJO
CORTM301,CORTADOR TORICO DE CARBURO 6XR1.5
CORTM302 F,CORTADOR DE CARBURO 3MM 2 FILOS ESFERICO
CORTM303,CORTADOR VERTICAL DE CARBURO 4MM 2 FILOS ESFERICO
CORTM304,CORTADOR VERTICAL DE CERBURO 5MM 2 FILOS ESFERICO CON RECUBRIMIENTO TIALN
CORTM305,CORTADOR VERTICAL TORICO 4 X R1
CORTM306,CORTADOR TORICO DE CARBURO 8 X R2
CORTM307,CORTADOR VERTICAL DE CARBURO 1MM 4 FILOS ESFERICO C/RECUB. TIALN
CORTM309,CORTADOR CARB. BL 4 X 6 X 50mm 2FL CO91100411
CORTM313,CORTADOR F2AL0300AWS30L300 ESFERICO KC639M 3X6X50mm 2F 6524766
CORTM314,CORTADOR F2L0400AWS30L400 ESFERICO KC 639M 4X6X50mm 2F 6524767
CORTM315,CORTADOR PLANO 6mm R0.5 206422 6/0.5
CORTM321,CORTADOR DE CARBURO 1MM 4 FILOS ESFÉRICO C/RECUB TIALN
CORTM323,CORTADOR EMBPE3040-40-09-ATH ESFERICO TIPO M LAPIZ D 4mm x 40mm x 90mm LARGO
CORTM404,CORTADOR ESR7040600520 PC305H 6X6X20X60mm R0.5
CORTM405,CORTADOR ESPM4060-15L PC305H 6X6X2.5X12X90mm R1.5
CORTM406,CORTADOR ESPM408020L PC305H 8X8X3.5X16X100mm R2
CORTM412,CORTADOR DE CARBURO R1 4X10X70mm 4F ESR73404010
CORTM416,CORTADOR PLANO DE CARBURO 3mm EPPM4030-TH
CORTS001,CORTADOR VERTICAL DE CARBURO 1/16 4 FILOS PLANO CON RECUB. TIALN
CORTS002 F,CORTADOR VERTICAL DE CARBURO 1/8 4 FILOS C/RECUB. TIALN PLANO
CORTS002 T,CORTADOR VERTICAL DE CARBURO 1/8 4 FILOS C/RECUB. TIALN PLANO
CORTS003 F,CORTADOR VERTICAL DE CARBURO 3/16 4 FILOS PLANO CON RECUB. TIALN
CORTS003 T,CORTADOR DE CARBURO 3/16 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS004 F,CORTADOR VERTICAL DE CARBURO 1/4 4 FILOS PLANO C/RECUB. TIALN
CORTS004 T,CORTADOR DE CARBURO 1/4 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS005 F,CORTADOR DE CARBURO 5/16 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS005 T,CORTADOR DE CARBURO 5/16 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS006 F,CORTADOR VERTICAL DE CARBURO 1/2 4 FILOS PLANO C/RECUB. TIALN
CORTS007 F,"CORTADOR VERTICAL DE CARBURO 1/2 GALVANIZADO 2"" ZANCO 2"" 4 FILOS PLANO C/RECUB. TIALN"
CORTS008 F,"CORTADOR VERTICAL DE CARBURO 8MM GALVANIZADO 50 MM ZANCO 2"" 4 FILOS PLANO C/RECUB. TIALN"
CORTS009 F,CORTADOR VERTICAL DE CARBURO 1/4 LARGO TOTAL 100MM 4 FILOS PLANO C/RECUB. TIALN
CORTS010 F,CORTADOR VERTICAL DE CARBURO 1/4 4 FILOS ESFERICO CON RECUB. TIALN
CORTS011,CORTADOR DE CARBURO 1/32 4F PLANO C/RECUB TIALN
CORTS012,CORTADOR DE CARBURO 3/32 4F PLANO C/RECUB TIALN
CORTS014,CORTADOR DE CARBURO 3/8 X 2 X 4 C/RECUB. TIALN MCA. FULLERTON
CORTS301,CORTADOR VERTICAL DOBLE DE 1/2 PLANO PARA ACERO INOXIDABLE
CORTS302,"CORTADOR VERTICAL DE 1/2 4 FILOS PLANO, PARA ACERO INOXIDABLE"
CORTS303,"CORTADOR VERTICAL DE CARBURO 1/2 4 FILOS PLANO, CONN RECUBRIMIENTO TIALN"
CORTS304,"CORTADOR VERTICAL DOBLE FILO DE CARBURO DE 1/2, 5 FILOS PLANO"
CORTS305,"CORTADOR VERTICAL DE CARBURO DOBLE FILO DE 1/8 PLANO, CON RECUBRIMIENTO TIALN"
CORTS306,CORTADOR VERTICAL DOBLE FILO DE 1/8 PARA ACERO INOXIDABLE
CORTS307,CORTADOR VERTICAL DOBLE FILO DE 1/8 PLANO PARA ACERO INOXIDABLE
CORTS308,CORTADOR VERTICAL DE CARBURO DE 1/8 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS309,CORTADOR VERTICAL DE CARBURO DE 1/8 R0.15 4 FILOS PLANO CON RECUBRIMIENTO DE TIALN
CORTS310,CORTADOR VERTICAL DOBLE FILO 3/16 PLANO PARA ACERO INOXIDABLE
CORTS311,CORTADOR VERTICAL 3/16 4 FILOS PLANO PARA ACERO INOXIDABLE
CORTS312,CORTADOR VERTICAL DE CARBURO 3/16 R0.015 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS313,CORTADOR VERTICAL DOBLE FILO 7/32 PLANO PARA ACERO INOXIDABLE
CORTS314,CORTADOR VERTICAL DE CARBURO 3/16 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS315,CORTADOR DE CARBURO 3/8 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS316,CORTADOR DE CARBURO 1/2 4 FILOS PLANO CON RECUBRIMIENTO DE TIAL
CORTS317,CORTADOR VERTICAL DE CARBURO 3/16 2 FILOS ESFERICO CON RECUBRIMIENTO DE TIALN
CORTS318,CORTADOR VERTICAL DE CARBURO DE 1/8 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS319,CORTADOR VERTICAL DE CARBURO DE 1/4 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTS320,CORTADOR VERTICAL HSS 1/8 4 FILOS PLANO
CORTS401,"CORTADOR HSS WOODRUFF DE 1 1/2"" X 1/4"""
CRAY-001,CRAYON P/METAL TIPO GIS
CRIS-001,CRISTAL RECTANGULAR CLARO
CRIS-002,"CRISTAL RECTANGULAR OBSCURO 
SOMBRA 11"
CUBE-001,CUBETA DE PLASCTICO
CUBR-001,CUBREBOCAS 2 CAPS
CUBR-002,CUBREBOCAS DE TELA
CUCH-001,CUCHILLA E-100 HSS P/REBABIADO PP-001-106
DEDA-001,DEDAL DE HULE
DELT-001,DELTACOR 70 CU REFRIGERANTE SOLUBLE 017 (20 LT)
DESA-001,"DESARMADOR CAB. PLANA DE 1/4"" X 4"" MCA. URREA MOS. 9604"
DESA-002,"DESARMADOR CAB. DE CRUZ DE 2 1/4"" MCA. URREA MOD. 9684"
DESE-001,DESENGRAPADORA
DETE-001,DETERGENTE MULTIUSOS ARCOIRIS BOLSA 9 KG
DETE-002,DETERGENTE MULTIUSOS ROMA BOLSA 10 KG
DISC-001,"DISCO DE SIERRA 10"" P/CORTE DE ALUMINIO
DWA03210"
DISC-002,"DISCO LAMINADO 4 1/2"" C-2718"
DISC-003,"DISCO LAMINADO 7"" C-2732"
DISC-004,"DISCO P/CORTE DE METAL 14"" C-700"
DISC-005,"DISCO P/CORTE DE METAL 4 1/2"" C-778"
DISC-006,"DISCO P/CORTE DE METAL 7"" C-2008"
DISC-007,"DISCO P/CORTE DE METAL 9"" C-876"
DISC-009,"DISCO P/DESBASTE DE METAL 4 1/2"" C-2004"
DISC-010,"DISCO P/DESBASTE DE METAL 7"" C-2007"
DISC-013,"DISCO CORTE LOSETA 10"" LISO BLANCO BARRENO 15.9"
ELEC-001,ELECTRODO 45 AMP #220669
ELEC-002,ELECTRODO 6013 1/8
ELEC-003,ELECTRODO 7018 1/8
ELEC-004,ELECTRODO 7018 5/32
ELEC-005,ELECTRODO PARA ALUMINIO 4043 1/8 CLAVE SKU-12
ELEC-006,ELECTRODO APORTE BRONCE C/FUNDENTE 1/8 C
ELEC-007,ELECTRODO APORTE BRONCE DESNUDO 1/8 CLAV
ELEC-008,ELECTRODO APORTE INOX. 316L EN 1/16 PROW
ELEC-009,"ELECTRODO TUNGSTENO 2% THORIO EN 3/32 WELD500
SKU-927"
ELEC-010,ELECTRODO DE CARBON COBRIZADO P/CORTE 1/
ELEC-011,ELECTRODO PARA INOX. UTP 65 1/8
ELEC-012,ELECTRODO PARA INOX. XUPER 680 CGS CA CD 1/8
ELEC-013,"ELECTRODO PARA FIERRO COLADO 40 CA CD 5/32"""
ELEC-014,ELECTRODO 9018 1/8
ELEC-015,ELECTRODO 6010 1/8 SKU: 662
ELEC-016,"ELECTRODO PARA FIERRO COLADO UTP 807 1/8"""
ELEC-017,ELECTRODO APORTE INOX. 308L EN 1/8 DELTA
ELEC-018,ELECTRODO 6010 3/32
ELEC-019,"ELECTRODO TUNGSTENO TIG 3 TIERRAS 3/32 WELD500
SKU:743"
ELEC-020,ELECTRODO FOSCO STAY-SILV EN 1/8 HARRIS (SKU-632)
ELEC-021,"NANO ALLOY 6395N XHD 4.0 mm
6395NXHD-40-5K"
ELEC-022,ELECTRODO APORTE INOX. 308L EN 3/32
ELEC-023,ELECTRODO APORTE A/CARBON 705-6 EN 1/16
ELEC-024,ELECTRODO APORTE A/CARBON 705-6 EN 3/32
ELEC-025,"ELECTRODO
  TUNGSTENO TIG 3 TIERRAS EN 1/16 
    WELD500 
    
    SKU-1497"
ELEC-026,"ELECTRODO
  6013 3/32"
EMPA-001,"EMPAQUES K-1008-SMT (FIBRA RIJA) #4513 INF 
SKU:3019"
ENGR-001,ENGRAPADORA GRAPA 26X6
ESCO-001,ESCOBA TIPO CEPILLO CON BASTON DE MADERA DE 1.20 CM
ESCO-002,ESCOBILLON PARA WC CON TAZON DE PLASTICO
ESCU-001,ESCUDO FRONTAL 30 AMP- PMX 30XP #420116
ESCU-002,ESCUDO 45 AMP. PMX 45 #220674
ESCU-003,"ESCUADRA DE COMBINACION SURTEK MOD. 122254 (12"")"
ESCU-004,"ESCUADRA DE CANTERO SURTEK MOD. 122281 (24"")"
ESMA-001,ESMALTE SECADO RAPIDO AMARILLO CROMO
ESMA-002,ESMALTE SECADO RAPIDO AZUL PRUSIA
ESMA-003,ESMALTE SECADO RAPIDO AZUL SEGÚN MUESTRA
ESMA-004,ESMALTE SECADO RAPIDO BLANCO
ESMA-005,ESMALTE SECADO RAPIDO CAFÉ
ESMA-006,ESMALTE SECADO RAPIDO CREMA
ESMA-007,ESMALTE SECADO RAPIDO GRIS CLARO
ESMA-008,ESMALTE SECADO RAPIDO GRIS OBSCURO
ESMA-009,ESMALTE SECADO RAPIDO NARANJA
ESMA-010,ESMALTE SECADO RAPIDO NEGRO
ESMA-011,ESMALTE SECADO RAPIDO PLATA
ESMA-012,ESMALTE SECADO RAPIDO ROJO BERMELLON
ESMA-013,ESMALTE SECADO RAPIDO ROSA
ESMA-014,ESMALTE SECADO RAPIDO VERDE MILITAR
ESMA-015,ESMALTE SECADO RAPIDO ALUMINIO PARA ALTA TEMPERATURA
ESPAM001,ESPARRAGO ROSC. 8mm.
ESPAM002,ESPARRAGO ROSC. 10mm.
ESPAM003,ESPARRAGO ROSC. 16mm
ESPAM004,ESPARRAGO ROSC. ACME M24 PASO 3
ESPAM005,ESPARRAGO ROSC. INOX. 10mm.
ESPAM006,ESPARRAGO ROSC. 18mm
ESPAS001,"ESPARRAGO ROSC. 1/2"""
ESPAS002,"ESPARRAGO ROSC. 5/8"""
ESPAS003,"ESPARRAGO ROSC. GALV. 3/4"""
ESPAS004,"ESPARRAGO ROSC. INOX. 1/4"""
ESPAS005,"ESPARRAGO ROSC. INOX. 1/2"""
ESPAS006,"ESPARRAGO CUERDA ACME 1/2"""
ESPAS007,"ESPARRAGO ROSC. INOX. 3/8"""
ESPAS008,"ESPARRAGO ROSC. 3/4"""
ESPAS009,ESPARRAGO ACME 7/8
ESPAS010,ESPARRAGO ACME 7/8
ESPI-002,ESPIGA DE 3/4 CON ROSCA MACHO
ESTE-001,ESTERAS P6.3572.0
ETIQ-001,ETIQUETA ADHERIBLES TAMAÑO CARTA
ETIQ-002,ETIQUETAS PARA LASER T/CARTA
EXTR-001,EXTRACTOR
F,SILICON PERTAMEX TRANSPARENTE DE 80ML
FAJA-001,FAJA ELASTICA JYR 825 T/CHICA
FAJA-002,FAJA ELASTICA JYR 825 T/MEDIANA
FAJA-003,FAJA ELASTICA JYR 825 T/GRANDE
FAJA-004,FAJA ELASTICA JYR 825 T/ EXTRA GRANDE
FAJA-005,FAJA DE CUERO MBA TIPO PESISTA T36 )-
FAJA-006,FAJA DE CUERO MBA TIPO PESISTA T40 )
FAJA-007,FAJA ELAS. JYR 825 C/3ER CINT.TXXL )//
FILT-001,FILTRO AD320 H341158/20
FILT-002,FILTRO DE AIRE P6-4212.0
FILT-003,FILTRO DE ACEITE P6-3461.1
FILT-004,FILTRO 45V26 GAS LENS EN 3/32 OB SKU: 737
FILT-005,FILTRO SMC AMG - EL150
FILT-006,FILTRO SEPARADOR DE ACEITE P6.3795.1
FILT-007,FILTRO CH56P
FILT-008,"ROLLO DE PAPEL FILTRANTE CDF*150/50/50
NO. DE PARTE: 2798885"
FILT-009,FILTRO DE AIRE P6.4432.0
FILT-010,
FILT-011,FILTRO 3M 2097 VAPORES ORGANICOS D-
FILT-014,FILTRO SEPARADOR DE ACEITE P6.3792.2
FILT-016,FILTRO DE ACEITE P6.3462.1
FIRB-001,FIBRA 225 X 150mm. MARRON GRANO MEDIO
FLEX-001,FLEXOMETRO ANTI-IMPACTO 5 MT. MCA. SURTEK MOD. B122081
FLEX-002,FLEXOMETRO ANTI-IMPACTO 8 MT. MCA. SURTEK MOD. B122082
FLUI-001,"FLUIDO TAMPIC # 1 GOLD
NO. DE PARTE: 81-007-050"
FOLD-001,FOLDER CON COSTILLA TAMAÑO CARTA
FOLD-002,FOLDER DE CARTULINA CREMA T/CARTA
FOLD-003,FOLDER COLGANTE T/CARTA
FUSI-001,FUSIBLE FNQ 20A/500
FUSI-002,FUSIBLE FNQ 30A/500
FUSI-003,FUSE[P450H] CLAVE: 2580156
GAGE-001,GAGES PARA CUERDA DE 60° MARCA MITUTOYO MOD. 950-201
GOMA-001,GOMA PARA BORRAR
GRAP-001,GRAPAS ESTANDAR No.400 PATA 6.35mm 100 PZS
GRAS-001,GRASA SINTETICA MOBILITH SHC 007
GRAS-002,GRASA MOBILUX EP1
GRAS-003,GRASERA RECTA 1/4
GRAS-004,GRASERA RECTA 1/8 NPT
GRAS-005,GRASERA RECTA 6mm
GRAS-006,GRASA PARA CHUCK HIDRAHULICO MARCA KITAGAWA 14 OZ
GRAS-008,GRASERA A 45° M6
GRAS-009,"GRASERA
  RECTA 8mm"
GRAS-010,"GRASERA
  A 90° 6mm"
GUAN-001,GUANTE AZUL INFRA CODIGO MIG 5273
GUAN-002,GUANTE DE USCARIA SUAVE
GUAN-003,GUANTE DERMA-GRIP FLEX NYL 51975 T9
GUAN-004,GUANTE DERMA-GRIP FLEX NYL TIPO JAPONES 16975 T9)//
GUAN-005,GUANTE KING-COBRA P/SOLDADOR 99-814
GUAN-006,GUANTE RGF CARNAZA CORTOS
GUAN-007,GUANTE SF T601 ALTA TEMPERATURA PALM CAR
GUAN-008,GUANTE ANSELL SOLVEX NITRILO 37175 T9
GUAN-009,GUANTE ANSELL SOLVEX NITRILO 37175 T10
GUAN-010,GUANTE AMBIDERM LATEX MED. BLANCO
GUAN-011,GUANTE DERMACRON NITR P/CALC 67602 T9)//
GUAN-012,GUANTE IMT OSCARIA ARGONERO #11 C/CAMP
HOJA-001,HOJA DE LIJA J-86 GRADO 80
HOJA-002,HOJA DE PAPEL DE COLORES T/CARTA
HOJA-003,HOJA OPALINA T/CARTA
HULE-001,HULE NEOPRENO 1/4
INSE-001,INSERTO 266RG-16VM01A002M 1125
INSE-002,INSERTO 415N-05 02 06M-M30 1010
INSE-003,INSERTO 419R-1405M-PM 1130
INSE-004,INSERTO 490R-08T308M-PM 4240
INSE-005,INSERTO 880-05 03 05H-C-LM 1144
INSE-006,INSERTO 880-05 03 W08H P-LM 4324
INSE-007,INSERTO AOMT070208PDPR-MJ AH725 (6861274)
INSE-008,INSERTO ASMT11T308PDPR-MJ AH120 (6822078)
INSE-010,INSERTO CCMT060208-PS AH725 (6856762)
INSE-012,INSERTO CCMT09T304-PS T9115
INSE-013,INSERTO CCMT09T308-PS AH725 (6856765)
INSE-015,INSERTO CNMG090408E-TSF T9115
INSE-018,INSERTO 345R-1305M-PM 1130
INSE-019,INSERTO DCGW11T30450130F 7015
INSE-021,INSERTO DCMT070208-MM 125
INSE-022,INSERTO DCMT11T304-PS AH905 (6879337)
INSE-023,INSERTO ALTO AVANCE XDLW090408SR-D X400 (5652239)
INSE-024,"INSERTO DE ALTO AVANCE XDPT090408ERD41 SC6525 
MM 6010771"
INSE-025,"INSERTO DE CARBURO TRIANGULAR 1/2, RADIO 0.8mm
TPUN220408 KCK15B"
INSE-026,"INSERTO CNMG432A-1B SPO819 
MM 5653066"
INSE-027,"INSERTO NT2LK KC730 
MM 1112913"
INSE-028,"INSERTO DE CERAMICA TRIANGULAR 1/2, RADIO0.4mm
TPGN220404T01025 HC2"
INSE-029,INSERTO DE CERAMICA TRIANGULAR 1/2 TPGN220408T02020
INSE-030,INSERTO DGM2-020 AH725 (6860478)
INSE-031,INSERTO DGM4-030 AH725 (6860438)
INSE-032,INSERTO FRESADO 390R-070208M-PM 1130
INSE-033,INSERTO LMMU110708PNER-MJ AH725 (6860045)
INSE-034,INSERTO LNMU0303ZER-MJ AH725 (6864162)
INSE-035,INSERTO N123E2-0200-0002-CM 4325
INSE-036,INSERTO N123H2-0400-0004-TF 1125
INSE-037,"INSERTO NTK2L KC730
MM 1114258"
INSE-038,"INSERTO POSITIVO WNMG060408MP KCM25B
MM 5591912"
INSE-039,INSERTO R245-12 T3M PM 1130
INSE-040,INSERTO R300-0720E-PM 1130
INSE-041,INSERTO R300-1240M-PH 1010
INSE-042,INSERTO R300-1240M-PM 1130
INSE-043,INSERTO R390 -11 T3 08M-PM 1130
INSE-044,INSERTO RDHX 0501M0SN CTPP235
INSE-046,INSERTO RPHX 10T3MOSN-CTPP235
INSE-047,INSERTO RPNX 10T3MOSN-F50 CTPP235
INSE-048,"INSERTO SDEB080208 KC0725M
MM 1157497"
INSE-050,INSERTO TNMG220408-TM T9215 (6772332)
INSE-051,INSERTO TR-DC130 4F 1115
INSE-052,INSERTO TR-DC1304-F 4315
INSE-053,INSERTO VNMG160404-TM AH120 (6812134)
INSE-054,INSERTO VNMG160408-TM T9115 (6862455)
INSE-055,INSERTO XPMT08T308R-DJ AH725
INSE-056,INSERTO TCEX 050101L F 1125
INSE-058,INSERTO 490R-08T308M-PM 1130
INSE-059,INSERTO FRESADO R300-1240E-PM 1130
INSE-060,INSERTO DNMG150604-T-SF T915
INSE-061,INSERTO DNMG150604-SF AH6225 (6825248)
INSE-062,"INSERTO CNMG120408MS KCU25
MM 4050454"
INSE-064,INSERTO 4QP-CNMA 432-W BXC50 (6822272)
INSE-065,"INSERTO CNMG120408E4E SP0819 
MM 5652137"
INSE-066,INSERTO 345R-1305M-PM 1010
INSE-067,INSERTO CCMT060204-PS AH725 (6856761)
INSE-070,INSERTO 880 0403W07H PGT4334
INSE-071,INSERTO 880 040305H C LM 1144
INSE-072,INSERTO DNMG110404E-SM T6120
INSE-073,INSERTO R300-1240E-PM 1010
INSE-074,INSERTO PNCU0905GNER-MJ AH725 (6860126)
INSE-075,INSERTO DNGA110408S01525H 7115 (CBN)
INSE-076,INSERTO VNMG160412-TM T9135
INSE-077,INSERTO 266RG 16VM01A001M 1125 (R1-2)
INSE-078,INSERTO 2NUCNGA 120408 BN350
INSE-079,INSERTO CNMG 432-TF IC807 (5507750) TIMS
INSE-080,INSERTO TAG N3C IC808 (6003577)
INSE-081,INSERTO AVGT060308PBER-MJ AH3135 (6733156)
INSE-082,INSERTO 327R06-12250VM-TH 1025
INSE-083,INSERTO R216-1608 M-M 4240
INSE-084,INSERTO CNMG120408N-MU AC8025P
INSE-085,"INSERTO CNMG120412-TSF T9215
(6772152)"
INSE-086,INSERTO R216-1603 E-M 1130
INSE-087,INSERTO NG2M200LK KCP25B (5968011)
INSE-088,INSERTO N123E2-0200-RO 1125
INSE-089,INSERTO N1512-250-5E 1125
INSE-090,INSERTO DNMG110404E-TM T9125 (6708400)
INSE-091,INSERTO TOMT100408PDER-MJ AH3135 (6999178)
INSE-092,INSERTO 490R-08T308M-PM 4340
INSE-093,INSERTO TRVB1302F 1125
INSE-094,INSERTO TCMT 090202 PF 4325
INSE-095,INSERTO NG2M100RK KCU25 4109689
INSE-096,INSERTO TR-VB1304F 4315
INSE-097,INSERTO 4QP-VNGA 331 S9051
INSE-098,"INSERTO NG2M050LK KC5010
MM3397369"
INSE-099,INSERTO 490R-08T308M-PM 1010
INSE-100,INSERTO PNCU0905GNFR-AJ TH10 (6860117)
INSE-101,"INSERTO 70 357 318 TC16-1E1,5 ISO CWN240 (2282392)"
INSE-102,"INSERTO 70 357 314 TC16-1E1,0 ISO CWN240 (2248423)"
INSE-103,"INSERTO 70 357 332 TC16-2E2,0 ISO CWN240 (2242330)"
INSE-104,INSERTO DNMG150608-PF 4315
INSE-105,"INSERTO VNMG160412-MP MC6025
VNMG333MP"
INSE-106,"INSERTO DNMG150616MP MC6025
DNMG444MP"
INSE-107,INSERTO XPMT06X308R-DJ AH725 (6861361)
INSE-108,INSERTO WXGU040308R-TS AH725 (6989927)
INSE-109,INSERTO WWMU060306R-DJ AH3135 (6767667)
INSE-110,"INSERTO DCMT070208FP KCP25B
MM 5537437"
INSE-111,INSERTO DE CARBURO R790 160405PH NL H13A
